Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,32.500000,32.740002,31.889999,32.099998,31.962072,4521400
2021-02-09,32.029999,32.459999,31.830000,32.400002,32.260784,2469300
2021-02-10,32.599998,32.630001,31.879999,32.029999,31.892372,2703500
2021-02-11,31.980000,32.259998,31.750000,31.910000,31.772890,3421500
2021-02-12,31.930000,31.930000,31.549999,31.770000,31.633492,3497800
2021-02-16,31.750000,31.799999,31.260000,31.420000,31.284996,3841500
2021-02-17,31.520000,31.670000,31.260000,31.660000,31.523964,4298100
2021-02-18,31.510000,31.780001,31.260000,31.740000,31.603621,3697300
2021-02-19,31.600000,31.809999,31.180000,31.240000,31.105768,3174300
2021-02-22,31.260000,31.760000,31.059999,31.680000,31.543879,5655800
2021-02-23,31.940001,32.240002,31.360001,31.790001,31.653406,4480300
2021-02-24,31.590000,31.680000,31.040001,31.459999,31.324821,4702200
2021-02-25,31.200001,32.080002,30.420000,30.860001,30.727402,5883300
2021-02-26,30.920000,31.190001,30.280001,30.520000,30.388863,7687100
2021-03-01,30.780001,31.100000,30.450001,30.889999,30.757273,5082500
2021-03-02,30.950001,31.160000,30.730000,30.780001,30.647745,4153100
2021-03-03,30.650000,31.190001,30.570000,30.620001,30.488434,5124700
2021-03-04,30.770000,31.450001,30.660000,30.879999,30.747314,4910700
2021-03-05,31.120001,31.740000,30.930000,31.530001,31.394524,5867300
2021-03-08,31.750000,32.669998,31.559999,32.470001,32.330486,7160700
2021-03-09,32.689999,33.320000,32.599998,33.090000,32.947819,8710200
2021-03-10,33.340000,34.049999,33.290001,33.560001,33.415802,9881100
2021-03-11,33.369999,33.660000,33.090000,33.299999,33.156918,6253700
2021-03-12,33.290001,33.389999,32.700001,33.369999,33.226616,5175000
2021-03-15,33.830002,33.830002,33.200001,33.580002,33.435715,6424700
2021-03-16,33.680000,34.230000,33.650002,34.090000,33.943523,7239500
2021-03-17,33.560001,34.230000,33.500000,34.099998,33.953480,7518500
2021-03-18,33.930000,34.160000,33.689999,33.889999,33.744381,5919700
2021-03-19,34.580002,34.630001,34.080002,34.139999,33.993309,22880600
2021-03-22,34.000000,34.730000,33.849998,34.580002,34.431419,7388300
2021-03-23,34.860001,34.939999,34.450001,34.610001,34.461288,7575200
2021-03-24,34.520000,34.590000,34.310001,34.369999,34.222317,4258300
2021-03-25,34.680000,34.790001,34.360001,34.540001,34.391590,5260900
2021-03-26,34.180000,35.310001,34.150002,35.240002,35.088585,7303100
2021-03-29,35.220001,35.570000,34.990002,35.490002,35.337509,6222900
2021-03-30,35.430000,35.509998,34.779999,34.910000,34.759998,5126900
2021-03-31,34.730000,35.009998,34.360001,34.369999,34.369999,6273100
2021-04-01,34.400002,34.720001,34.230000,34.500000,34.500000,6344500
2021-04-05,34.470001,35.110001,34.430000,35.000000,35.000000,6008600
2021-04-06,34.889999,35.250000,34.759998,35.070000,35.070000,8746900
2021-04-07,35.220001,35.330002,35.049999,35.270000,35.270000,4018900
2021-04-08,35.330002,35.490002,35.240002,35.310001,35.310001,7082100
2021-04-09,35.310001,35.349998,34.900002,35.169998,35.169998,5654100
2021-04-12,35.240002,35.599998,35.110001,35.490002,35.490002,4741500
2021-04-13,35.410000,35.610001,35.230000,35.380001,35.380001,3646600
2021-04-14,35.439999,35.509998,35.209999,35.360001,35.360001,3739400
2021-04-15,35.549999,35.980000,35.549999,35.830002,35.830002,8546300
